id_img,label
10052,happy
10065,neutral
10079,neutral
10095,fear
10121,sad
10148,neutral
10163,neutral
10215,happy
1024,sad
10286,happy
10315,happy
10336,neutral
10338,fear
10371,fear
10382,happy
10399,neutral
10415,happy
10426,happy
10551,fear
10554,happy
10583,happy
10699,neutral
10702,neutral
1071,surprise
10743,happy
10746,neutral
10818,fear
10823,neutral
10825,happy
10839,happy
10854,happy
10970,happy
11002,happy
11017,surprise
11024,happy
11028,happy
1106,sad
11075,happy
11093,happy
11096,neutral
11158,happy
11169,surprise
11186,neutral
11188,happy
11200,happy
1124,happy
11266,neutral
1127,happy
11337,happy
11342,happy
11400,neutral
11421,happy
11467,fear
11561,happy
11610,surprise
11613,neutral
11632,happy
11642,neutral
11675,fear
11694,happy
1177,happy
11813,neutral
11841,happy
11849,happy
11883,happy
11949,happy
11964,surprise
11986,happy
12136,neutral
12144,happy
1215,surprise
12171,happy
12183,sad
12230,happy
12237,happy
12307,neutral
1235,neutral
12352,fear
12489,happy
12680,surprise
12695,happy
12733,happy
12808,neutral
12810,fear
12841,happy
12842,neutral
12851,neutral
12928,neutral
12945,neutral
13029,happy
13041,happy
13057,neutral
13059,neutral
13092,sad
13118,neutral
13167,happy
13220,sad
13267,sad
13279,sad
13334,fear
13351,happy
13376,happy
13395,fear
1340,sad
13431,fear
1350,happy
13514,fear
13533,happy
13535,fear
1358,fear
13582,neutral
13599,neutral
13607,happy
13671,neutral
13672,neutral
13738,fear
13758,happy
1386,happy
13890,surprise
13978,neutral
14022,happy
14030,happy
14058,happy
14108,sad
14118,happy
14120,sad
14148,neutral
14185,fear
14206,neutral
1422,happy
14243,happy
14315,happy
14329,surprise
14357,neutral
14376,happy
1438,sad
14381,happy
14421,happy
14438,neutral
14498,fear
14557,happy
1460,happy
14706,sad
1477,neutral
14775,sad
14821,happy
14831,surprise
14870,neutral
14945,neutral
15074,happy
1508,neutral
15138,happy
15172,surprise
15190,happy
15194,neutral
15217,happy
15222,fear
15295,sad
15474,happy
15500,happy
15502,surprise
1555,happy
15562,happy
15637,happy
15644,neutral
15654,neutral
15699,neutral
157,sad
15709,fear
15712,fear
15715,fear
15725,happy
1575,happy
15771,neutral
1582,happy
15820,surprise
15821,sad
15835,happy
1584,neutral
15848,fear
15897,happy
15919,happy
15941,happy
15954,surprise
15979,happy
16033,sad
16102,neutral
16169,happy
16222,happy
16233,sad
16287,happy
16292,happy
16380,sad
16406,happy
16410,neutral
16413,fear
16428,happy
16506,happy
16510,happy
16557,sad
16565,surprise
16643,happy
16659,happy
16681,happy
16711,sad
1672,happy
16764,neutral
16768,neutral
16783,neutral
16792,happy
16875,happy
16999,happy
17024,sad
17053,sad
17085,neutral
17099,sad
17167,happy
1717,happy
17170,fear
17186,sad
17209,fear
17211,sad
17228,happy
17259,sad
17316,fear
17344,neutral
1736,neutral
17371,happy
17413,neutral
17428,fear
17445,happy
17452,happy
17502,fear
17536,happy
17647,neutral
17700,sad
17705,sad
17731,fear
17735,fear
17736,happy
17752,happy
17787,surprise
17910,sad
17939,fear
18001,neutral
18050,neutral
18140,neutral
18142,happy
18161,happy
18166,neutral
18183,sad
18200,sad
18247,neutral
1825,happy
18254,fear
18284,happy
18376,happy
18380,sad
1841,happy
18415,fear
18445,neutral
18459,neutral
18466,happy
18492,happy
18534,sad
18565,neutral
18566,fear
18588,neutral
18593,happy
18602,sad
18617,happy
18633,neutral
18695,sad
18715,neutral
18779,happy
1880,sad
18810,neutral
18837,happy
18882,happy
18903,sad
18949,surprise
18983,sad
1899,sad
18994,sad
19014,happy
19060,surprise
19067,sad
1908,happy
19093,neutral
19108,happy
19114,happy
19115,happy
19140,sad
19152,happy
19268,sad
19292,neutral
19309,happy
19392,fear
19476,happy
19477,fear
19485,happy
1966,happy
19664,neutral
19732,sad
19811,happy
1983,fear
19832,fear
19877,neutral
19906,fear
19923,neutral
1994,fear
19950,neutral
19961,happy
2006,fear
20222,sad
20227,surprise
20287,sad
20290,sad
20298,happy
20303,neutral
20312,neutral
20328,happy
20353,happy
20374,happy
20451,sad
2050,happy
20505,sad
20532,happy
2055,happy
20629,fear
20630,neutral
20635,neutral
20640,happy
20653,happy
20673,sad
20686,fear
20736,sad
20739,happy
20796,happy
20817,happy
20849,neutral
21068,sad
21099,neutral
21111,sad
21131,happy
21135,happy
21161,happy
2117,happy
21173,fear
21284,happy
21371,sad
21374,neutral
2142,happy
21447,neutral
21472,happy
21511,happy
21512,happy
21520,happy
21541,neutral
21573,happy
21670,fear
21703,neutral
21723,happy
21782,happy
21836,sad
21865,surprise
21916,neutral
21921,fear
21922,neutral
2194,sad
22089,neutral
22183,happy
22184,sad
22198,fear
2225,sad
22309,happy
22334,fear
22375,happy
22516,neutral
22695,neutral
22733,neutral
22739,happy
22789,happy
22807,sad
22810,neutral
22832,happy
2290,neutral
22990,fear
23,happy
23008,happy
23041,happy
23059,neutral
23085,happy
23164,happy
23194,happy
23215,happy
23230,happy
23246,happy
23327,happy
23404,happy
23468,happy
23473,happy
23488,happy
23521,neutral
23532,happy
23749,neutral
23780,neutral
23783,fear
23814,sad
23847,fear
23886,happy
24067,surprise
2407,happy
24071,happy
24176,happy
24184,sad
24252,neutral
24378,fear
24412,neutral
24428,happy
24435,neutral
24437,sad
24441,happy
24466,fear
24490,happy
245,sad
24501,fear
24542,sad
24660,sad
24678,neutral
24711,happy
24789,happy
24797,surprise
24819,fear
24821,neutral
2484,neutral
2486,neutral
2487,fear
24886,neutral
249,fear
24959,happy
24967,happy
2498,happy
24992,happy
25082,neutral
25088,happy
251,happy
25101,sad
2511,sad
25131,sad
25144,sad
25209,sad
25255,fear
25343,neutral
25360,sad
25435,neutral
25528,happy
25542,sad
2557,fear
2558,sad
25612,happy
25681,neutral
25688,happy
25778,happy
25795,neutral
2581,happy
25811,fear
25813,surprise
25844,happy
25874,happy
25876,happy
25886,neutral
25891,neutral
259,happy
25944,neutral
25973,fear
26025,happy
26038,happy
26059,neutral
26121,fear
26124,neutral
26137,neutral
26163,happy
26175,sad
26177,happy
26181,neutral
26185,happy
26248,happy
26264,happy
26267,sad
26337,happy
26344,sad
26437,happy
26446,fear
26462,fear
26572,surprise
26597,fear
26618,happy
26620,happy
2668,sad
26725,happy
26789,happy
26845,happy
26860,surprise
26886,happy
26899,happy
26900,surprise
26919,fear
26928,happy
26956,happy
27016,neutral
27022,neutral
27054,happy
2709,happy
2712,happy
27284,fear
27296,neutral
27385,fear
27413,fear
27464,neutral
27483,sad
27544,sad
2762,sad
27652,neutral
2770,happy
27704,surprise
27715,fear
27726,neutral
27744,fear
27770,happy
27777,sad
27798,fear
27828,sad
2791,neutral
27967,fear
27982,happy
28015,happy
28058,sad
28062,fear
28120,neutral
28144,happy
28148,neutral
28149,fear
28207,fear
28248,sad
28288,fear
28300,happy
28401,happy
28438,happy
28498,happy
28509,happy
28543,happy
28547,neutral
28560,neutral
28585,fear
28614,happy
28618,happy
28620,neutral
28660,surprise
28707,happy
28720,happy
28731,fear
28737,happy
28743,sad
28749,neutral
28800,happy
28840,sad
28867,neutral
28884,happy
2890,happy
28932,happy
28952,surprise
29085,happy
29119,happy
29132,happy
29202,fear
29266,happy
29319,sad
2933,happy
29414,surprise
29471,surprise
29477,neutral
29493,neutral
29523,fear
29527,happy
29554,happy
29571,happy
29581,happy
29588,sad
29614,happy
29669,sad
29685,sad
29730,sad
298,neutral
29818,happy
29866,neutral
29929,happy
29931,neutral
29947,happy
29977,happy
29980,fear
30002,happy
30004,happy
30015,happy
30024,happy
30058,happy
30059,fear
30082,neutral
30085,happy
30171,happy
3021,happy
30260,fear
30273,happy
30290,happy
30305,happy
30320,neutral
30325,fear
30394,surprise
30415,neutral
30420,neutral
30456,happy
30458,sad
30460,happy
30490,happy
30509,happy
30535,happy
30563,neutral
30584,fear
30619,happy
30901,neutral
30933,neutral
30944,fear
3099,sad
31033,happy
31042,fear
31081,happy
31083,fear
31138,happy
31142,neutral
31203,fear
3121,neutral
3137,surprise
31491,happy
31529,sad
31544,sad
31609,neutral
31635,happy
31693,neutral
31703,sad
3176,happy
31849,surprise
3186,sad
31873,neutral
3188,fear
31928,happy
32023,neutral
32024,neutral
32153,happy
32161,happy
32223,sad
32231,neutral
3226,neutral
32278,happy
32281,neutral
32298,sad
32336,happy
32352,surprise
32367,happy
32454,neutral
32464,happy
32473,fear
3248,fear
32481,fear
32506,neutral
32512,neutral
32575,sad
32584,neutral
32617,neutral
32662,happy
32755,happy
32777,happy
33015,surprise
3303,sad
33105,sad
33131,neutral
33221,happy
3327,neutral
33301,happy
33308,neutral
3334,happy
33352,neutral
33444,happy
33450,neutral
33459,happy
33494,neutral
33560,neutral
33573,happy
33633,neutral
33666,fear
3370,happy
33729,sad
3377,neutral
338,sad
33809,happy
33829,happy
33890,neutral
33924,neutral
33926,happy
3393,happy
33935,neutral
33977,sad
33987,happy
33998,neutral
34036,neutral
34040,neutral
3412,happy
34138,happy
34151,happy
34175,neutral
34178,neutral
34184,neutral
34238,neutral
34259,happy
34352,happy
34359,surprise
34363,neutral
34448,happy
34474,happy
3449,happy
34507,neutral
34581,happy
34592,neutral
34596,happy
34620,sad
3467,happy
34714,happy
34778,neutral
34879,neutral
35009,sad
35010,surprise
35028,happy
35041,happy
35059,neutral
35145,sad
35149,fear
35162,happy
35210,surprise
3522,fear
35261,happy
35298,happy
35407,neutral
35425,neutral
35439,happy
35447,happy
35514,happy
3558,happy
3564,sad
35669,happy
35681,fear
35682,neutral
35731,sad
35753,sad
35805,sad
35809,fear
35820,happy
35828,happy
35881,happy
35884,happy
3599,fear
3632,neutral
377,happy
38,neutral
3802,happy
3819,neutral
3839,happy
3862,neutral
3870,happy
3913,surprise
4015,neutral
404,fear
4060,happy
4077,sad
4100,happy
4196,sad
4229,fear
4306,happy
4317,surprise
4324,neutral
4349,happy
4384,neutral
4396,fear
4397,happy
4459,fear
4468,sad
4502,surprise
4579,happy
4616,sad
4637,fear
4660,neutral
4665,happy
4670,happy
4700,fear
4751,neutral
4807,neutral
4878,happy
4937,neutral
5010,happy
5060,sad
5064,surprise
521,neutral
5220,happy
5233,fear
5244,happy
5259,fear
5312,happy
5317,sad
5400,sad
5422,fear
5432,neutral
5434,happy
5459,surprise
5519,happy
5564,happy
5570,sad
5582,neutral
5607,neutral
5610,neutral
5637,happy
5732,neutral
5739,happy
5780,sad
5810,fear
5822,sad
5859,happy
5883,happy
5888,fear
589,sad
5902,fear
5962,happy
6009,sad
6017,neutral
6075,happy
608,fear
6088,happy
6119,neutral
6129,happy
6155,neutral
6225,neutral
