id_img,label
10004,angry
10019,sad
10023,sad
10029,angry
1003,sad
10031,happy
10033,neutral
10043,disgust
10044,neutral
10048,happy
10052,sad
10053,angry
10056,surprise
10065,sad
10068,happy
10073,disgust
10074,happy
10079,sad
1008,disgust
10095,sad
10096,happy
10097,neutral
10099,sad
101,fear
10106,happy
10114,sad
10116,sad
10117,sad
10118,sad
10121,angry
10126,happy
10134,neutral
10138,happy
10141,surprise
10148,sad
10150,happy
10162,surprise
10163,angry
10171,sad
10172,neutral
10176,sad
10185,surprise
10189,sad
1020,angry
10215,sad
10218,happy
1022,sad
10237,happy
1024,sad
10246,fear
10247,sad
10248,happy
10252,sad
10257,happy
10259,surprise
1026,neutral
10263,sad
10266,neutral
10267,angry
10268,surprise
1027,happy
10273,neutral
10276,happy
10278,happy
10286,sad
10292,sad
10306,surprise
10312,happy
10315,disgust
10317,happy
1033,surprise
10336,sad
10338,fear
10339,sad
10344,fear
10346,sad
10352,disgust
10355,sad
10362,neutral
10365,surprise
10367,sad
10370,happy
10371,sad
10372,fear
10375,happy
10382,sad
10383,sad
10386,sad
10399,sad
10406,neutral
10409,happy
10415,neutral
10423,sad
10425,sad
10426,sad
10432,happy
10435,sad
10437,sad
10443,sad
10444,surprise
10445,sad
1045,neutral
10455,sad
10456,fear
10458,fear
10467,happy
10468,sad
10480,happy
10489,fear
10493,surprise
10512,neutral
10518,neutral
10528,happy
10532,sad
10533,neutral
10534,happy
10535,neutral
10540,happy
10545,surprise
10549,sad
10551,angry
10552,happy
10554,angry
1056,sad
10561,fear
10571,neutral
1058,sad
10583,sad
10607,disgust
10620,disgust
10622,happy
10624,neutral
10625,surprise
10634,sad
10638,happy
10640,sad
10644,happy
10647,happy
10653,neutral
10655,fear
10676,sad
10683,happy
10686,sad
10693,neutral
10694,sad
10699,disgust
10701,surprise
10702,neutral
10703,sad
1071,angry
10713,sad
10715,sad
10734,surprise
1074,fear
10741,neutral
10743,angry
10746,sad
1075,happy
10755,sad
10758,sad
10768,fear
10769,neutral
10770,happy
10773,happy
10774,neutral
1078,sad
10787,disgust
1079,fear
10792,fear
10797,fear
10800,fear
1081,happy
10811,happy
10813,sad
10818,sad
10820,surprise
10823,sad
10825,neutral
10832,neutral
10837,neutral
10839,happy
10841,neutral
10854,angry
10866,surprise
10871,happy
10879,fear
10881,sad
10902,neutral
10903,happy
10906,sad
10909,angry
10916,sad
10919,sad
10926,neutral
1093,neutral
10931,fear
10933,angry
10935,fear
1094,neutral
10944,sad
10950,surprise
10956,happy
10968,sad
10970,happy
10979,happy
10992,happy
11000,sad
11002,sad
1101,disgust
11017,sad
11019,happy
11022,sad
11024,fear
11025,disgust
11026,sad
11028,sad
11030,angry
11031,sad
11032,surprise
11034,sad
11036,fear
11038,sad
11039,happy
11043,fear
11054,neutral
11055,happy
11057,neutral
1106,happy
11065,sad
1107,neutral
11075,angry
11093,happy
11096,fear
11098,neutral
11100,neutral
11104,sad
11108,sad
1111,fear
11112,sad
11126,happy
11130,neutral
11137,surprise
11138,angry
11139,surprise
11140,disgust
11143,sad
11146,sad
1115,happy
11150,happy
11158,sad
1116,sad
11163,angry
11168,neutral
11169,angry
1118,surprise
11180,happy
11186,sad
11188,sad
11192,sad
112,neutral
11200,sad
11208,happy
11209,sad
1121,happy
11213,neutral
11218,sad
11222,sad
11233,sad
11234,sad
11236,sad
1124,angry
11241,sad
11251,sad
1126,neutral
11264,angry
11266,sad
11269,sad
1127,sad
11277,neutral
11278,sad
1128,surprise
11280,sad
11284,sad
11295,sad
1130,fear
11302,surprise
11316,neutral
11317,neutral
1133,sad
11337,angry
11342,angry
11345,happy
11346,sad
11349,happy
11353,sad
11358,sad
11360,happy
1137,fear
11381,sad
11390,sad
11392,happy
11395,sad
11398,sad
11400,neutral
1141,disgust
11412,fear
11414,surprise
11416,sad
11418,fear
1142,happy
11421,fear
11429,fear
11448,happy
11451,surprise
11462,happy
11466,surprise
11467,sad
11471,fear
1148,sad
11491,sad
115,sad
11500,happy
11508,happy
11516,happy
11518,neutral
1152,happy
11523,sad
11529,disgust
11530,happy
11536,fear
1154,sad
11549,angry
11552,happy
11558,happy
11559,sad
1156,fear
11560,sad
11561,sad
11573,happy
11575,happy
11581,neutral
11582,sad
11587,angry
11588,sad
11589,happy
1159,surprise
11594,happy
11601,neutral
11603,neutral
11604,sad
11610,fear
11613,fear
11614,happy
11626,neutral
11632,angry
11637,happy
11639,disgust
11640,happy
11642,fear
11646,sad
11653,disgust
11654,neutral
11658,happy
11660,sad
11662,sad
11670,surprise
11675,sad
11682,fear
11686,neutral
11687,sad
11689,sad
1169,sad
11694,angry
11704,surprise
11706,neutral
11717,happy
11721,surprise
11722,happy
11725,neutral
11727,sad
11729,disgust
1173,happy
11733,happy
11738,disgust
11746,neutral
11747,sad
11754,sad
1176,fear
11763,happy
11766,happy
1177,angry
11772,happy
11774,sad
11783,neutral
11785,happy
11786,happy
11790,happy
11793,happy
11794,sad
11808,happy
11813,angry
11814,happy
11816,sad
11818,sad
11819,happy
11823,sad
11834,neutral
11835,fear
11836,disgust
11841,angry
11842,sad
11848,surprise
11849,angry
11850,happy
11855,disgust
11865,sad
11867,sad
11872,fear
11875,sad
11876,sad
11880,neutral
11883,fear
11885,happy
11889,neutral
1189,sad
11891,sad
11902,surprise
11904,fear
11909,angry
11913,sad
11927,happy
11928,neutral
1193,surprise
11944,surprise
11949,angry
11964,sad
11966,sad
11968,fear
11977,happy
11978,sad
1198,sad
11986,sad
11999,neutral
12011,happy
1202,sad
12024,sad
12040,happy
12042,neutral
1206,sad
12063,sad
12074,sad
12086,fear
12090,neutral
12092,disgust
12096,sad
12098,angry
12100,sad
12106,sad
12107,surprise
12113,sad
12116,sad
12117,sad
12119,sad
12120,happy
12125,sad
12129,neutral
12131,surprise
12134,fear
12136,sad
12141,happy
12144,happy
1215,neutral
12162,sad
12171,sad
12173,neutral
12183,angry
12190,disgust
12191,happy
1220,neutral
12202,sad
12215,disgust
1222,sad
12230,angry
12237,sad
12239,happy
12246,sad
12255,happy
12257,fear
12259,happy
12267,happy
1227,neutral
12272,neutral
12284,happy
12289,sad
12307,fear
12312,surprise
12313,fear
12318,fear
12319,sad
12320,sad
12321,neutral
12329,happy
12334,angry
12338,surprise
12349,happy
1235,angry
12350,surprise
12352,sad
12359,happy
12361,sad
12363,disgust
12364,sad
12366,sad
12376,happy
12379,happy
12381,surprise
12383,happy
1239,fear
12407,fear
12410,sad
12417,disgust
12423,neutral
12431,neutral
12440,neutral
1246,happy
12463,sad
12470,surprise
12472,neutral
1248,fear
12487,happy
12489,neutral
1249,surprise
12492,fear
12496,sad
12497,surprise
12498,disgust
12500,happy
12504,sad
12508,neutral
12512,sad
12519,disgust
12524,sad
12527,fear
12529,fear
12547,neutral
12551,surprise
12557,happy
12560,happy
12567,surprise
12569,sad
12578,sad
12581,happy
12591,sad
12592,fear
12594,fear
12600,happy
12611,happy
12621,sad
12626,surprise
12634,angry
1264,disgust
12647,surprise
12648,sad
12659,fear
12661,sad
12672,happy
12674,sad
12676,sad
12680,angry
12684,happy
12695,happy
12698,surprise
12702,sad
12705,sad
12712,sad
12723,sad
12725,happy
12729,sad
12733,angry
12737,surprise
12748,surprise
12753,disgust
12758,sad
12768,surprise
12772,happy
12776,happy
12789,happy
12791,sad
12801,sad
12808,sad
12809,sad
12810,angry
12818,neutral
12827,sad
12841,disgust
12842,neutral
12851,angry
12852,neutral
12861,happy
12869,neutral
12879,happy
12885,fear
12891,disgust
12899,disgust
12903,happy
12904,sad
12924,happy
12928,sad
12933,sad
12936,neutral
12945,sad
12948,fear
12951,happy
12956,happy
12957,happy
12958,neutral
12960,fear
12973,happy
12976,neutral
1298,neutral
12986,fear
12988,sad
1300,happy
13000,sad
13009,neutral
13027,sad
13029,fear
13037,surprise
13041,fear
13047,sad
13051,sad
13057,fear
13059,sad
13067,neutral
13071,neutral
13073,happy
13080,fear
1309,happy
13091,sad
13092,neutral
131,sad
13101,surprise
13105,happy
13108,sad
13114,disgust
13118,angry
13121,angry
13127,neutral
1313,neutral
13139,happy
13145,surprise
13150,fear
13151,fear
13152,fear
1316,happy
13161,sad
13162,sad
13164,neutral
13167,sad
13169,neutral
13179,sad
13180,sad
13187,sad
13188,sad
13203,disgust
13204,happy
13205,surprise
13212,sad
13220,sad
13228,happy
13230,fear
13233,sad
13237,neutral
13242,neutral
1325,neutral
13250,sad
13252,sad
13267,fear
13279,neutral
1328,disgust
13283,happy
13288,surprise
13293,fear
13296,sad
13301,sad
13306,angry
13308,sad
13310,angry
13317,happy
13322,happy
13334,sad
13337,neutral
13339,sad
1334,happy
13348,sad
13351,sad
13353,happy
1336,neutral
13362,disgust
13363,happy
13366,sad
13372,sad
13376,sad
13380,sad
13385,happy
1339,neutral
13394,sad
13395,sad
1340,angry
13405,sad
13409,sad
